name_place,category,place,place_description,price,url_place,problem
Тепло обниматься в кинотеатре для двоих Секрет,кинотеатр,"ул. Волочаевская, 25","• Встречайте незабываемый вечер в уюте кинозала с пятьметровым экраном! Наслаждайтесь просмотром любимого фильма в узком кругу, расслабившись на комфортабельных диванах.

• Весь зал предоставляется исключительно для вашей компании, обеспечивая максимальное уединение. В стоимость билетов включены чай, чизкейки и шоколадное фондю, а также романтическое оформление зала с лепестками роз и свечами.

• Ваш вечер можно дополнить собственными угощениями и напитками. При выборе более продвинутого тарифа вы получите шампанское или вино, а также возможность профессиональной фотосессии, чтобы запечатлеть этот особенный момент.

• Создайте атмосферу волшебства и наслаждения вместе с нами!",3000,https://yandex.ru/maps/-/CDegVWPZ,-
Признаться в чувствах в ресторане Река,ресторан,"Берсеневская наб., 6, стр. 2","• Ресторан ""Река"" в Москве — это не просто заведение, а настоящая находка для романтических свиданий вдвоем. Расположенный с видом на реку, он воплощает в себе уникальный дизайн, созданный итальянским архитектором.

• Особое внимание уделено меню, которое включает в себя изысканные блюда, способные удовлетворить самые изысканные вкусы. От кулинарных шедевров до традиционных угощений, здесь найдется что-то для каждого гостя. Но великолепная кухня — лишь часть впечатления.

• Но особенностью ресторана являются уютные веранды, где вы можете насладиться свежим воздухом и живописным пейзажем. Это идеальное место для того, чтобы уйти от городской суеты и насладиться тихим, расслабляющим ужином в компании любимого человека.",5000,https://yandex.ru/maps/-/CCUCJTaXdB,-
Свидание со вкусом в ресторане 32.05,ресторан,"ул. Каретный ряд, д. 3","• Прогуливаясь по парку Эрмитаж, не упустите возможность посетить веранду '32.05'. В этом уникальном ресторане, где тепло и уютно даже зимой, вы сможете насладиться вином, попробовать изысканные блюда европейской кухни и расслабиться в гамаках. Вид на парк и атмосфера уникальны.

• Ресторан подходит для встреч с друзьями, ужина вдвоем или делового обеда. Опытный персонал создаст неповторимую атмосферу, предложив богатый выбор напитков, включая эксклюзивные вина.

• Время, проведенное на веранде, станет особенным благодаря шепоту листвы и мягкому свету. Таким образом, веранда '32.05' в парке Эрмитаж объединяет в себе природную красоту, изысканную кулинарию и уют, делая ваш визит незабываемым.",4000,https://yandex.ru/maps/-/CDeGrSNk,-
Душевно побеседовать в ресторане White Rabbit,ресторан,"Смоленская площадь, д.3, 16 этаж","• На 16-м этаже Смоленского Пассажа, в ресторане White Rabbit, каждый момент – особенный. В утонченной атмосфере и стильном дизайне создан идеальный уголок для душевных разговоров и формирования общих планов.

• White Rabbit — это не просто ресторан, это путеводитель в мир изысканных вкусов, где блюда становятся произведениями искусства, а вино дополняет роскошь вкусового парада. Позвольте себе насладиться гастрономическим искусством, где каждая встреча и блюдо становятся уникальными, приглашая вас на путешествие по высшим кулинарным вкусам.",7000,https://yandex.ru/maps/-/CCUWnDrI9A,-
Приятно провести время в ресторане Карлсон,ресторан,"Овчинниковская наб., 20/1","• Поднимитесь на крышу 14-этажного бизнес-центра Central City Tower и окунитесь в кулинарное приключение, где вкус традиционной домашней пасты, тальятте из тунца, ароматной утиной ножки и свежего салата капрезе с клубникой сливаются с захватывающим видом на Замоскворечье.

• Это не просто ресторан, а уникальное место, где гастрономическое великолепие сочетается с восхитительными панорамами, создавая атмосферу изысканности и удовольствия.

• Позвольте своим вкусовым рецепторам ощутить рай, в то время как вас окружают не только изысканные блюда, но и великолепные виды, делающие ваш опыт неповторимым.",6000,https://yandex.ru/maps/-/CDeHR03B,-
Устроить романтический ужин на теплоходе Radisson,ресторан,Причал «Гостиница Украина» (м. «Киевская»),"Романтический ужин – это всегда прекрасная идея для свидания, но в этот раз предлагаем вам выбрать нечто особенное. 

• Погрузитесь в атмосферу неповторимого вечера, отправившись в круиз по Москва-реке. Здесь вас ожидают фантастические виды столицы, зажигательная лирическая музыка и непревзойденные блюда от лучших шеф-поваров города.

• Откройте для себя новые грани романтики, наслаждаясь вместе с любимым человеком великолепным ужином, который станет незабываемым воспоминанием о вашем особенном свидании.",6800,https://yandex.ru/maps/-/CDeHR8nY,-
"Романтическая прогулка в парке ""Коломенское""",прогулка,"Проспект Андропова, 39","• Отправьтесь в музей-заповедник, где история оживает под открытым небом. Пройдите по тенистым аллеям, наслаждаясь вместе с любимым человеком атмосферой прошлого.

• Здесь вы сможете не только насладиться красотой природы и свежим воздухом, но и почувствовать волшебство воспоминаний, которые оживают в каждом уголке музейного комплекса.

• Такой неспешный день под открытым небом станет идеальным способом поделиться моментами с любимым человеком и создать особенные воспоминания.",0,https://yandex.ru/maps/-/CDQ4iYMY,-
Посетить музей-усадьбу Царицыно,прогулка,"ул. Дольская, 1","• Погрузитесь в волшебство природы, посетив музей-усадьбу 'Царицыно' — удивительный оазис в сердце столицы. Пройтись по живописной территории заповедника, наслаждаясь зелеными газонами, цветущими клумбами, фонтанами и уютными прудами.

• Для добавления романтики предлагаем совершить прогулку на веселой лодке, которая привнесет дополнительную весельчаковскую нотку к вашему свиданию.

• И, конечно же, не забудьте сохранить эти моменты, делая фотографии на фоне дворцово-паркового ансамбля, чтобы прекрасные воспоминания оставались с вами на долгие годы.",0,https://yandex.ru/maps/-/CDa4QTml,-
Наслаиться пейзажами в усадьбе Кусково,прогулка,"ул. Юности, 2","• Погрузитесь в великолепие усадьбы 'Кусково', где роскошные дворцы и буйная растительность создают уникальное архитектурное великолепие.

• Прогулка по тенистым парковым аллеям и отдых на берегу озера подарят вам неописуемую гармонию с природой. Чудесные виды, раскрывающиеся перед вами, создадут атмосферу спокойствия и настроят на лирический лад.

• Увлекательная экскурсия по усадьбе раскроет подробности быта и жизни ее владельцев, позволяя вам проникнуть в историю этого восхитительного места.",0,https://yandex.ru/maps/-/CDa4QT90,-
Кстроить пикник в парк-усадьбе Воронцово,прогулка,"тер. Воронцовский парк, 3","• Парк-усадьба 'Воронцово' — московский аналог Версаля, созданный князем Репиным. Ступив в это величественное пространство, вы погружаетесь в атмосферу старинной красоты и природного великолепия.

• Кроны деревьев создают тенистые аллеи, где можно наслаждаться прогулками. Мягкие газоны приглашают к романтическим пикникам, окруженным каскадами прудов с водными лилиями и архитектурой XIX века.

• Уютные беседки расставлены по всей территории, приглашая отдохнуть и насладиться спокойствием природы. Архитектурные шедевры прошлого века украшают парк, подчеркивая его историческую ценность.",0,https://yandex.ru/maps/-/CDeHRH~B,креатив
Устроить свидание в тайм-кафе Ежеминутка,антикафе,"Арбат, 6/2","• 'Ежеминутка' — уникальное кафе в самом центре Москвы, где можно насладиться обществом милых ежиков. Это не просто место для отдыха, а настоящий уголок тепла и уюта.

• Здесь вы окунетесь в атмосферу радости и умиротворения, наслаждаясь компанией пушистых ежат. В кафе не только предлагают вкусные напитки и закуски, но и создают уникальный опыт общения с этими необычными животными.

• 'Ежеминутка' станет идеальным местом для тех, кто ищет необычный отдых и желает поделиться минуткой с милыми обитателями. Здесь каждое посещение превращается в неповторимое приключение, наполненное теплом и нежностью. Погрузитесь в удивительный мир 'Ежеминутки', где каждая минута становится особенной и запоминающейся.",1500,https://yandex.ru/maps/-/CDeHRL6w,-
